"playerID","votes","yearID","votedBy","ballots","needed","inducted","category","needed_note"
"Scott Rolen","297",2023,"BBWAA",389,292,"Y",NA,NA
"Todd Helton HOF","281",2023,"BBWAA",389,292,"N",NA,NA
"Billy Wagner","265",2023,"BBWAA",389,292,"N",NA,NA
"Andruw Jones","226",2023,"BBWAA",389,292,"N",NA,NA
"Gary Sheffield","214",2023,"BBWAA",389,292,"N",NA,NA
"Carlos Beltrán","181",2023,"BBWAA",389,292,"N",NA,NA
"Jeff Kent","181",2023,"BBWAA",389,292,"N",NA,NA
"Alex Rodriguez","139",2023,"BBWAA",389,292,"N",NA,NA
"Manny Ramirez","129",2023,"BBWAA",389,292,"N",NA,NA
"Omar Vizquel","76",2023,"BBWAA",389,292,"Y",NA,NA
"Andy Pettitte","66",2023,"BBWAA",389,292,"Y",NA,NA
"Bobby Abreu","60",2023,"BBWAA",389,292,"Y",NA,NA
"Jimmy Rollins","50",2023,"BBWAA",389,292,"Y",NA,NA
"Mark Buehrle","42",2023,"BBWAA",389,292,"Y",NA,NA
"Francisco Rodríguez","42",2023,"BBWAA",389,292,"Y",NA,NA
"Torii Hunter","27",2023,"BBWAA",389,292,"N",NA,NA
"Huston Street","1",2023,"BBWAA",389,292,"N",NA,NA
"Bronson Arroyo","1",2023,"BBWAA",389,292,"N",NA,NA
"Mike Napoli","1",2023,"BBWAA",389,292,"N",NA,NA
"John Lackey","1",2023,"BBWAA",389,292,"N",NA,NA
"R.A. Dickey","1",2023,"BBWAA",389,292,"N",NA,NA
"Jhonny Peralta","0",2023,"BBWAA",389,292,"N",NA,NA
"J.J. Hardy","0",2023,"BBWAA",389,292,"N",NA,NA
"Andre Ethier","0",2023,"BBWAA",389,292,"N",NA,NA
"Jacoby Ellsbury","0",2023,"BBWAA",389,292,"N",NA,NA
"Matt Cain","0",2023,"BBWAA",389,292,"N",NA,NA
"Jered Weaver","0",2023,"BBWAA",389,292,"N",NA,NA
"Jayson Werth","0",2023,"BBWAA",389,292,"N",NA,NA
"cobbty01","222",1936,"BBWAA",226,170,"Y","Player",NA
"ruthba01","215",1936,"BBWAA",226,170,"Y","Player",NA
"wagneho01","215",1936,"BBWAA",226,170,"Y","Player",NA
"mathech01","205",1936,"BBWAA",226,170,"Y","Player",NA
"johnswa01","189",1936,"BBWAA",226,170,"Y","Player",NA
"lajoina01","146",1936,"BBWAA",226,170,"N","Player",NA
"speaktr01","133",1936,"BBWAA",226,170,"N","Player",NA
"youngcy01","111",1936,"BBWAA",226,170,"N","Player",NA
"hornsro01","105",1936,"BBWAA",226,170,"N","Player",NA
"cochrmi01","80",1936,"BBWAA",226,170,"N","Player",NA
"sislege01","77",1936,"BBWAA",226,170,"N","Player",NA
"collied01","60",1936,"BBWAA",226,170,"N","Player",NA
"colliji01","58",1936,"BBWAA",226,170,"N","Player",NA
"alexape01","55",1936,"BBWAA",226,170,"N","Player",NA
